,0,1
528,"[0, 0, 0, 0]",0.0
529,"[3, 3, 5, 2]",0.0
530,"[2, 1, 2, 1]",0.0
531,"[0, 2, 0, 1]",0.0
532,"[2, 4, 4, 1]",1.0
533,"[4, 4, 2, 2]",1.0
534,"[2, 0, 5, 3]",0.0
535,"[7, 1, 6, 14]",0.0
536,"[4, 1, 1, 2]",0.0
537,"[8, 2, 1, 10]",0.0
538,"[4, 3, 4, 1]",1.0
539,"[1, 0, 1, 2]",0.0
540,"[2, 3, 2, 2]",0.0
541,"[1, 0, 3, 1]",0.0
542,"[2, 0, 1, 1]",0.0
543,"[7, 3, 3, 3]",0.0
544,"[6, 2, 1, 7]",0.0
545,"[4, 2, 3, 2]",0.0
546,"[2, 2, 1, 1]",0.0
547,"[5, 4, 2, 2]",1.0
548,"[1, 0, 0, 1]",0.0
549,"[0, 0, 0, 0]",0.0
550,"[2, 0, 1, 3]",0.0
551,"[0, 0, 0, 1]",0.0
552,"[3, 0, 0, 6]",0.0
553,"[5, 3, 4, 1]",1.0
554,"[2, 0, 0, 4]",0.0
555,"[5, 0, 4, 2]",0.0
556,"[3, 2, 0, 2]",0.0
557,"[6, 4, 4, 2]",1.0
558,"[0, 0, 0, 0]",0.0
559,"[6, 3, 4, 1]",1.0
560,"[6, 1, 3, 2]",0.0
561,"[5, 1, 5, 2]",0.0
562,"[8, 1, 1, 3]",0.0
563,"[1, 3, 4, 1]",1.0
564,"[2, 4, 2, 1]",1.0
565,"[5, 1, 3, 2]",0.0
566,"[3, 3, 3, 1]",1.0
567,"[3, 3, 3, 1]",1.0
568,"[2, 3, 3, 2]",1.0
569,"[5, 1, 3, 2]",0.0
570,"[0, 0, 0, 0]",0.0
571,"[3, 3, 4, 1]",1.0
572,"[4, 3, 2, 1]",1.0
573,"[4, 1, 0, 2]",0.0
574,"[0, 0, 0, 0]",0.0
575,"[2, 0, 1, 2]",0.0
576,"[3, 2, 2, 1]",1.0
577,"[1, 1, 3, 1]",0.0
578,"[2, 0, 2, 1]",0.0
579,"[4, 2, 3, 3]",0.0
